k,residual_norm_F
0,0.4890874262785927676436948771534419392479
1,0.4620913855121088845827926304211916452655
2,0.03970428708806450006690581631407423218863
3,0.004862102628557238549778579192988546215234
4,0.00001205797505701795387330730294296994809535
5,0.00000000002907038464661847624976422017278010498068
6,7.555172447489066924390624244258779397796e-23
7,1.594685065573838648139789175830442626587e-45
8,4.436437054305311332072540990162266022208e-89
9,1.19575726789303919757913633509972673493e-180
10,5.902256679085290021515361998281750253123e-358
11,5.660496182780435286273250224846210350955e-717
